"","print_type","material","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final"
"624","PCB print","LiTFSI",2.1,10,6.65557404326123e-06
"625","PCB print","LiTFSI",2.1,10,2.45398773006135e-05
"626","PCB print","LiTFSI",0,10,2.58064516129032e-06
"627","PCB print","LiTFSI",0,10,3.41880341880342e-06
"628","PCB print","LiTFSI",0,10,4.67836257309942e-06
"629","PCB print","LiTFSI",0,10,2.77777777777778e-06
"630","PCB print","none",0,0,2.87769784172662e-08
"631","PCB print","none",0,0,1.65289256198347e-08
"632","PCB print","none",0,0,1.12994350282486e-08
"633","PCB print","none",0,0,9.66183574879227e-09
"634","PCB print","none",2.1,0,1.41342756183746e-08
"635","PCB print","none",2.1,0,1.4760147601476e-08
"636","PCB print","none",2.1,0,1.77777777777778e-08
"637","PCB print","none",2.1,0,7.3394495412844e-09
"638","PCB print","none",4.3,0,1.48698884758364e-08
"639","PCB print","none",4.3,0,1.49812734082397e-08
"640","PCB print","none",4.3,0,1.88679245283019e-08
"641","PCB print","none",4.3,0,9.11161731207289e-09
"642","PCB print","none",6.4,0,2.39520958083832e-08
"643","PCB print","none",6.4,0,1.31147540983607e-08
"644","PCB print","none",6.4,0,2.13903743315508e-08
"645","PCB print","none",6.4,0,8.94854586129754e-09
"646","PCB print","none",8.6,0,2.18579234972678e-08
"647","PCB print","none",8.6,0,2.10526315789474e-08
"648","PCB print","none",8.6,0,1.98019801980198e-08
"649","PCB print","none",8.6,0,1.32890365448505e-08
"650","PCB print","none",11,0,1.59362549800797e-08
"651","PCB print","none",11,0,3.36134453781513e-08
"652","PCB print","none",11,0,1.01522842639594e-08
"653","PCB print","none",11,0,2.46913580246914e-08
"654","PCB print","none",13,0,1.17302052785924e-08
"655","PCB print","none",13,0,6.98080279232112e-09
"656","PCB print","none",13,0,7.4487895716946e-09
"657","PCB print","none",15,0,2.48447204968944e-08
"658","PCB print","none",15,0,1.33333333333333e-08
"659","PCB print","none",15,0,1.40845070422535e-08
"660","PCB print","none",15,0,1.2987012987013e-08
"661","PCB print","none",0,0,1.70940170940171e-08
"662","PCB print","none",0,0,6.65557404326123e-09
"663","PCB print","none",0,0,9.95024875621891e-09
