True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
30,30,68.616714,57391.52,32561.688,65985.23,-29.568869,27.070775125816,-0.17113279,-9.790873e-07,0.07123334,0.017346174,1.0,42,0.020241417,3.067568e-07,0,-1.5074823958158057e-07,0.17440258,0.052382812,1.5514171,5.315385e-06,2.4409426e-05,6.832089e-06,2.0007203e-05,4.1369613e-06,1.1543598e-05,0.37697262,1.4968175,1.9779167,6.1475613e-10,7.9640416e-10,1.8681179e-10,4.2003256e-10,2.2364531e-10,1.7288912e-10,1.0
31,31,46.71924,71336.07,39816.664,81695.79,-29.168337,27.800376840430545,-0.1711309,-8.864011e-07,0.08555778,0.020323098,1.0,42,0.020239212,2.4773874e-07,0,-1.5111163914671976e-07,0.15220433,0.04213616,1.5644395,3.0316417e-06,1.6355183e-05,8.728658e-06,1.9130235e-05,1.14733775e-05,7.153081e-06,0.42088208,2.100253,1.832873,3.30023e-10,8.3593044e-10,1.6684434e-10,3.4908929e-10,1.9914902e-10,1.0901675e-10,1.0
32,32,31.801239,81317.31,43879.812,92400.99,-28.351841,28.52641031492385,-0.17113613,-1.2963143e-06,0.11405421,0.025720984,1.0,42,0.020232571,2.1896487e-07,0,-1.5135725194190443e-07,0.17307924,0.020089831,1.5903169,4.5637958e-06,2.4734663e-05,1.0831175e-05,1.9763449e-05,2.4540934e-06,8.324326e-06,0.39459726,1.2260106,2.1855524,1.8310428e-10,6.9950695e-10,2.9437938e-10,1.1596277e-10,1.9799719e-10,1.6318195e-10,1.0
33,33,21.656305,101411.64,55505.016,115607.65,-28.692942,29.246470882411813,-0.17112982,-1.643381e-06,0.13240474,0.030520728,1.0,42,0.020236382,1.7504362e-07,0,-1.5206067820345916e-07,0.16349137,0.038254235,1.5451806,2.7234312e-06,2.3557792e-05,4.8294305e-06,1.9804113e-05,8.409448e-06,5.0563253e-06,0.6131059,2.9840543,3.267794,4.455048e-10,4.952467e-10,1.7866453e-10,4.7283094e-10,2.6904867e-10,2.9340566e-10,1.0
34,34,14.74984,99382.305,60906.758,116561.04,-31.502182,30.00014667827054,-0.17113099,-1.0941559e-06,0.17716068,0.048371714,1.0,42,0.02023586,1.7360742e-07,0,-1.5237519701006382e-07,0.15482433,0.03392881,1.5635598,8.048185e-06,2.0429106e-05,4.0404802e-06,1.9091396e-05,4.2753645e-06,6.336256e-06,2.3046749,5.2870274,4.9509478,2.9283898e-09,1.9142938e-09,1.0455673e-09,8.9748536e-10,4.604965e-10,4.614166e-10,1.0
35,35,10.041743,104322.97,74199.984,128019.22,-35.42244,30.99395155214006,-0.17114563,-4.9589386e-07,0.21360292,0.07175703,1.0,43,0.02022576,1.5799003e-07,0,-1.5160922457238178e-07,0.16080292,0.03355342,1.5788798,4.4541903e-06,2.2714088e-05,7.3922015e-06,2.0271988e-05,4.412361e-06,1.9614074e-06,1.760425,2.775043,1.9155761,2.3123454e-09,5.114472e-10,9.951749e-10,7.752831e-10,4.9368937e-10,3.6455963e-10,1.0
36,36,6.8350806,129032.16,97751.27,161878.38,-37.146584,31.901398261863505,-0.17111903,-8.597235e-07,0.23820676,0.086860284,1.0,43,0.02022845,1.2496079e-07,0,-1.5169467580659715e-07,0.1536597,0.03294129,1.0923177,3.2893604e-06,1.7921142e-05,4.4278254e-06,2.3443978e-05,3.9313736e-06,6.2271233e-06,2.1081805,2.1248782,2.3891773,1.8160966e-09,1.3323495e-09,8.586372e-10,6.3825945e-10,5.380205e-10,2.5855673e-10,1.0
37,37,4.6544523,150083.3,130957.98,199185.81,-41.10693,33.05359692990896,-0.17111668,-3.9179386e-07,0.26110762,0.11286692,1.0,43,0.020226507,1.0154592e-07,0,-1.5200826428035125e-07,0.15009727,0.014770428,0.9039027,1.5182047e-06,2.0916581e-05,3.7490786e-06,2.0780575e-05,1.3896465e-06,5.647259e-06,1.1738918,2.573575,1.6696033,7.931117e-10,6.116091e-10,4.5522527e-10,1.4905321e-10,1.8471373e-10,3.472264e-10,1.0
38,38,3.1693728,165412.39,172049.44,238667.69,-46.126724,34.60512687030132,-0.1711103,-3.7518495e-07,0.29187274,0.15167458,1.0,43,0.020229269,8.4759144e-08,0,-1.5152968685773357e-07,0.13174114,0.0313039,0.69825166,2.3541515e-06,1.7947119e-05,4.54753e-06,1.8127053e-05,2.9797664e-06,4.406005e-06,2.3036475,3.1177113,1.9212114,1.4415003e-09,9.986643e-10,3.9068593e-10,6.088296e-10,2.9983283e-10,4.0048478e-10,1.0
39,39,2.1581502,220185.3,232835.58,320459.0,-46.59953,36.755906625825446,-0.17113426,-3.7653209e-07,0.31672996,0.16720253,1.0,43,0.020228771,6.312437e-08,0,-1.5218232113749587e-07,0.13426243,0.036617972,0.54212064,1.780132e-06,1.8685932e-05,2.975291e-06,1.8007968e-05,1.0305284e-06,6.6289094e-06,0.82737744,1.1348357,1.2503438,3.5270098e-10,3.4776815e-10,1.1100207e-10,4.6100807e-11,1.0050301e-10,4.353846e-11,1.0
40,40,1.4679656,280155.5,312071.44,419375.34,-48.084766,39.79586645020754,-0.1711285,-4.429671e-07,0.3474163,0.1923767,1.0,43,0.020233557,4.8246893e-08,0,-1.5277097134068482e-07,0.13353051,0.019949785,0.4488558,1.829674e-06,1.828179e-05,1.766602e-06,1.916831e-05,2.3197608e-06,4.0099117e-06,1.5444261,2.7071257,2.1369424,5.304724e-10,3.8383824e-10,1.07977634e-10,2.3618718e-10,1.0481473e-10,1.9827703e-10,1.0
41,41,1.0000616,346460.16,414736.03,540407.8,-50.125458,44.13898684317246,-0.1711301,-4.0536693e-07,0.38372633,0.226007,1.0,43,0.02023569,3.744522e-08,0,-1.5444651341798338e-07,0.13737594,0.014708314,0.38675454,1.5423827e-06,1.9250134e-05,1.4103276e-06,1.940141e-05,8.141174e-07,4.442484e-06,1.142742,0.987058,2.1066163,2.0892532e-10,2.884687e-10,1.7564632e-10,5.987238e-11,9.070177e-11,5.784694e-11,1.0
