Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-1
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature
min	MPa	%	°C
9.16	0.400183	59.1948	30.57
9.18	0.400536	59.3028	30.57
9.19	0.400940	59.4088	30.57
9.21	0.402087	59.5152	30.57
9.23	0.403294	59.6230	30.57
9.24	0.403501	59.7301	30.57
9.26	0.403498	59.8361	30.57
9.28	0.405006	59.9426	30.58
9.29	0.407077	60.0491	30.58
9.31	0.409177	60.1564	30.58
9.33	0.411332	60.2629	30.58
9.34	0.413094	60.3700	30.58
9.36	0.415714	60.4762	30.58
9.38	0.419041	60.5829	30.58
9.39	0.421924	60.6900	30.58
9.41	0.425441	60.7966	30.58
9.43	0.428732	60.9035	30.59
9.44	0.431909	61.0107	30.59
9.46	0.434511	61.1177	30.59
9.48	0.436570	61.2244	30.59
9.49	0.439921	61.3313	30.59
9.51	0.442563	61.4380	30.59
9.53	0.446240	61.5445	30.59
9.54	0.449720	61.6516	30.59
9.56	0.452876	61.7584	30.60
9.58	0.456326	61.8652	30.60
9.59	0.459988	61.9719	30.60
9.61	0.463009	62.0792	30.60
9.63	0.466248	62.1864	30.60
9.64	0.463443	62.2994	30.60
9.66	0.452007	62.4082	30.60
9.68	0.445270	62.5092	30.60
9.69	0.445078	62.6145	30.60
9.71	0.445606	62.7217	30.61
9.73	0.447421	62.8275	30.61
9.74	0.450290	62.9338	30.61
9.76	0.454249	63.0400	30.61
9.78	0.458990	63.1444	30.61
9.79	0.463798	63.2520	30.61
9.81	0.468184	63.3592	30.61
9.83	0.473128	63.4652	30.61
9.84	0.478706	63.5716	30.62
9.86	0.484530	63.6782	30.62
9.88	0.490598	63.7857	30.62
9.89	0.495891	63.8927	30.62
9.91	0.500929	63.9990	30.62
9.93	0.506612	64.1054	30.62
9.94	0.513220	64.2127	30.62
9.96	0.519727	64.3199	30.62
9.98	0.526193	64.4267	30.63
9.99	0.532103	64.5364	30.63

