Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI-b
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
3.19	0.409024	25.0470	31.27	15.5797	318.931
3.21	0.415656	25.1779	31.27	15.8323	320.597
3.23	0.422397	25.3086	31.27	16.0891	322.262
3.24	0.429267	25.4394	31.27	16.3508	323.927
3.26	0.436217	25.5701	31.27	16.6155	325.592
3.28	0.443330	25.7009	31.27	16.8864	327.257
3.29	0.450491	25.8317	31.27	17.1592	328.923
3.31	0.457817	25.9625	31.27	17.4382	330.588
3.33	0.465200	26.0933	31.27	17.7195	332.253
3.34	0.472731	26.2241	31.27	18.0063	333.919
3.36	0.480333	26.3549	31.27	18.2959	335.585
3.38	0.488070	26.4856	31.27	18.5906	337.249
3.39	0.495902	26.6164	31.28	18.8889	338.915
3.41	0.503818	26.7472	31.28	19.1904	340.580
3.43	0.511792	26.8781	31.28	19.4942	342.247
3.44	0.519775	27.0088	31.28	19.7982	343.912
3.46	0.526015	27.1404	31.28	20.0359	345.587
3.48	0.526435	27.2718	31.28	20.0519	347.260
3.49	0.526434	27.4024	31.28	20.0519	348.922
3.51	0.526434	27.5125	31.28	20.0519	350.325
3.53	0.526434	27.5503	31.28	20.0518	350.806
3.54	0.526434	27.5773	31.28	20.0518	351.150
3.56	0.526433	27.6018	31.28	20.0518	351.461
3.58	0.526433	27.6268	31.28	20.0518	351.780
3.59	0.526433	27.6496	31.28	20.0518	352.070
3.61	0.526433	27.6683	31.28	20.0518	352.309
3.63	0.526433	27.6852	31.28	20.0518	352.523
3.64	0.526433	27.7006	31.28	20.0518	352.720
3.66	0.526433	27.7151	31.28	20.0518	352.905
3.68	0.526433	27.7288	31.28	20.0518	353.079
3.69	0.526433	27.7416	31.28	20.0518	353.242
3.71	0.526433	27.7538	31.28	20.0518	353.397
3.73	0.526433	27.7662	31.28	20.0518	353.555
3.74	0.526433	27.7776	31.28	20.0518	353.701
3.76	0.526433	27.7883	31.28	20.0518	353.837
3.78	0.526433	27.7985	31.29	20.0518	353.967
3.79	0.526433	27.8089	31.29	20.0518	354.100
3.81	0.526433	27.8184	31.28	20.0518	354.220
3.83	0.526433	27.8279	31.29	20.0518	354.341
3.84	0.526433	27.8365	31.29	20.0518	354.450
3.86	0.526433	27.8448	31.29	20.0518	354.556
3.88	0.526433	27.8529	31.29	20.0518	354.659
3.89	0.526433	27.8609	31.29	20.0518	354.761
3.91	0.526433	27.8688	31.29	20.0518	354.862
3.93	0.526433	27.8775	31.29	20.0518	354.972
3.94	0.526433	27.8852	31.29	20.0518	355.071
3.96	0.526433	27.8934	31.29	20.0518	355.175
3.98	0.526432	27.9031	31.29	20.0518	355.299
3.99	0.526432	27.9117	31.29	20.0518	355.408
4.01	0.526432	27.9192	31.29	20.0518	355.503
4.03	0.526432	27.9261	31.29	20.0518	355.592
4.04	0.526432	27.9326	31.29	20.0518	355.674
4.06	0.526432	27.9398	31.29	20.0518	355.765
4.08	0.526432	27.9482	31.29	20.0518	355.873
4.09	0.526432	27.9582	31.29	20.0518	356.001
4.11	0.526432	27.9660	31.29	20.0518	356.100
4.13	0.526432	27.9739	31.29	20.0518	356.200
4.14	0.526432	27.9826	31.29	20.0518	356.310
4.16	0.526432	27.9909	31.29	20.0518	356.417
4.18	0.526432	27.9974	31.29	20.0518	356.500
4.19	0.526432	28.0137	31.29	20.0518	356.706
4.21	0.526432	28.0402	31.29	20.0518	357.045
4.23	0.526432	28.0483	31.29	20.0518	357.147
4.24	0.526432	28.0553	31.29	20.0518	357.237
4.26	0.526432	28.0612	31.29	20.0518	357.312
4.28	0.526432	28.0677	31.29	20.0518	357.395
4.29	0.526432	28.0758	31.30	20.0518	357.497
4.31	0.526432	28.0841	31.30	20.0518	357.603
4.33	0.526432	28.0897	31.29	20.0518	357.674
4.34	0.526432	28.0954	31.30	20.0518	357.747
4.36	0.526432	28.1016	31.30	20.0518	357.826
4.38	0.526432	28.1069	31.29	20.0518	357.894
4.39	0.526432	28.1128	31.30	20.0518	357.969
4.41	0.526432	28.1198	31.30	20.0518	358.058
4.43	0.526432	28.1256	31.30	20.0518	358.132
4.44	0.526432	28.1312	31.30	20.0518	358.203
4.46	0.526432	28.1365	31.30	20.0518	358.271
4.48	0.526432	28.1412	31.30	20.0518	358.331
4.49	0.526432	28.1462	31.30	20.0518	358.394
4.51	0.526432	28.1509	31.30	20.0518	358.454
4.53	0.526432	28.1556	31.30	20.0518	358.514
4.54	0.526431	28.1606	31.30	20.0518	358.578
