Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
3.39	0.229496	24.3651	30.38	345.202	8.24892
3.41	0.232980	24.4828	30.38	346.869	8.37415
3.43	0.236489	24.6003	30.38	348.535	8.50030
3.44	0.240083	24.7179	30.38	350.201	8.62945
3.46	0.243701	24.8355	30.38	351.867	8.75951
3.48	0.247386	24.9530	30.39	353.532	8.89197
3.49	0.251117	25.0707	30.39	355.198	9.02608
3.51	0.254834	25.1883	30.39	356.866	9.15966
3.53	0.258598	25.3058	30.39	358.530	9.29495
3.54	0.262428	25.4235	30.39	360.197	9.43264
3.56	0.266336	25.5410	30.39	361.863	9.57312
3.58	0.270274	25.6586	30.39	363.529	9.71465
3.59	0.274306	25.7761	30.39	365.194	9.85956
3.61	0.278378	25.8938	30.39	366.860	10.0059
3.63	0.282500	26.0113	30.39	368.525	10.1541
3.64	0.286674	26.1290	30.39	370.193	10.3041
3.66	0.290799	26.2467	30.39	371.860	10.4524
3.68	0.294924	26.3643	30.39	373.526	10.6006
3.69	0.298985	26.4820	30.39	375.194	10.7466
3.71	0.301426	26.6006	30.39	376.874	10.8344
3.73	0.305134	26.7175	30.39	378.530	10.9677
3.74	0.309080	26.8345	30.40	380.189	11.1095
3.76	0.313448	26.9521	30.40	381.855	11.2665
3.78	0.317910	27.0697	30.40	383.521	11.4269
3.79	0.322458	27.1873	30.40	385.187	11.5903
3.81	0.327007	27.3049	30.40	386.854	11.7538
3.83	0.331593	27.4225	30.40	388.518	11.9187
3.84	0.336277	27.5401	30.40	390.185	12.0870
3.86	0.341072	27.6576	30.40	391.850	12.2594
3.88	0.345933	27.7752	30.40	393.516	12.4341
3.89	0.350881	27.8928	30.40	395.182	12.6119
3.91	0.355881	28.0104	30.40	396.849	12.7917
3.93	0.360915	28.1279	30.40	398.513	12.9726
3.94	0.366057	28.2456	30.40	400.180	13.1574
3.96	0.371212	28.3630	30.40	401.845	13.3427
3.98	0.376484	28.4807	30.40	403.511	13.5322
3.99	0.381763	28.5983	30.40	405.177	13.7220
4.01	0.387146	28.7160	30.41	406.845	13.9155
4.03	0.392044	28.8338	30.41	408.515	14.0915
4.04	0.397276	28.9509	30.41	410.174	14.2796
4.06	0.402833	29.0686	30.41	411.841	14.4793
4.08	0.408430	29.1861	30.41	413.506	14.6805
4.09	0.414149	29.3038	30.41	415.173	14.8860
4.11	0.419978	29.4213	30.41	416.837	15.0956
4.13	0.425994	29.5388	30.41	418.503	15.3118
4.14	0.432024	29.6564	30.41	420.168	15.5285
4.16	0.438203	29.7738	30.41	421.832	15.7506
4.18	0.444438	29.8914	30.41	423.498	15.9748
4.19	0.450815	30.0090	30.41	425.164	16.2040
4.21	0.457280	30.1266	30.41	426.830	16.4363
4.23	0.463799	30.2442	30.41	428.497	16.6707
4.24	0.470322	30.3618	30.41	430.163	16.9051
4.26	0.476993	30.4792	30.42	431.827	17.1449
4.28	0.483795	30.5968	30.42	433.493	17.3894
4.29	0.490617	30.7143	30.42	435.157	17.6346
4.31	0.497592	30.8320	30.42	436.824	17.8853
4.33	0.504593	30.9496	30.42	438.491	18.1369
4.34	0.511722	31.0671	30.42	440.155	18.3932
4.36	0.518917	31.1848	30.42	441.822	18.6518
4.38	0.526142	31.3023	30.42	443.488	18.9115
4.39	0.533212	31.4201	30.42	445.157	19.1656
4.41	0.540321	31.5375	30.42	446.820	19.4211
4.43	0.547561	31.6552	30.42	448.488	19.6814
4.44	0.554661	31.7729	30.42	450.155	19.9366
4.46	0.557978	31.8930	30.42	451.856	20.0558
4.48	0.557977	32.0088	30.42	453.497	20.0558
4.49	0.557977	32.1261	30.42	455.159	20.0557
4.51	0.557976	32.2436	30.43	456.823	20.0557
4.53	0.557976	32.3185	30.43	457.885	20.0557
4.54	0.557976	32.4528	30.43	459.788	20.0557
4.56	0.557975	32.5981	30.43	461.846	20.0557
4.58	0.557974	32.7150	30.43	463.503	20.0557
4.59	0.557974	32.8331	30.43	465.176	20.0556
4.61	0.557974	32.9294	30.43	466.540	20.0556
4.63	0.557973	32.9965	30.43	467.491	20.0556
4.64	0.557973	33.0805	30.43	468.680	20.0556
4.66	0.557973	33.1739	30.43	470.004	20.0556
4.68	0.557972	33.2249	30.43	470.727	20.0556
4.69	0.557972	33.2648	30.43	471.292	20.0556
4.71	0.557972	33.2957	30.44	471.729	20.0556
4.73	0.557972	33.3243	30.44	472.135	20.0556
4.74	0.557972	33.3500	30.44	472.499	20.0556
4.76	0.557972	33.3759	30.44	472.866	20.0556
4.78	0.557972	33.4005	30.44	473.215	20.0556
4.79	0.557972	33.4226	30.44	473.527	20.0556
4.81	0.557972	33.4438	30.44	473.828	20.0556
4.83	0.557971	33.4666	30.44	474.152	20.0556
4.84	0.557971	33.4950	30.44	474.553	20.0555
4.86	0.557971	33.5168	30.44	474.863	20.0555
4.88	0.557971	33.5422	30.44	475.222	20.0555
4.89	0.557971	33.6338	30.44	476.520	20.0555
4.91	0.557970	33.7910	30.44	478.748	20.0555
4.93	0.557970	33.8274	30.45	479.263	20.0555
4.94	0.557970	33.8567	30.45	479.678	20.0555
4.96	0.557970	33.8822	30.45	480.040	20.0555
4.98	0.557970	33.9054	30.45	480.369	20.0555
4.99	0.557970	33.9264	30.45	480.666	20.0555
5.01	0.557969	33.9461	30.45	480.945	20.0555
5.03	0.557969	33.9639	30.45	481.197	20.0555
5.04	0.557969	33.9803	30.45	481.429	20.0555
5.06	0.557969	33.9962	30.45	481.655	20.0555
5.08	0.557969	34.0109	30.45	481.863	20.0555
5.09	0.557969	34.0251	30.45	482.064	20.0555
5.11	0.557969	34.0387	30.46	482.257	20.0555
5.13	0.557969	34.0517	30.46	482.441	20.0555
5.14	0.557969	34.0633	30.46	482.606	20.0555
5.16	0.557969	34.0757	30.46	482.781	20.0555
5.18	0.557969	34.0879	30.46	482.954	20.0555
5.19	0.557969	34.1057	30.46	483.206	20.0555
5.21	0.557969	34.1218	30.46	483.434	20.0555
5.23	0.557969	34.1328	30.46	483.590	20.0555
5.24	0.557969	34.1438	30.46	483.746	20.0555
5.26	0.557969	34.1549	30.46	483.904	20.0555
5.28	0.557969	34.1652	30.46	484.048	20.0555
5.29	0.557969	34.1744	30.46	484.179	20.0554
5.31	0.557969	34.1839	30.47	484.314	20.0554
5.33	0.557968	34.1937	30.47	484.453	20.0554
5.34	0.557968	34.2150	30.47	484.754	20.0554
5.36	0.557968	34.2281	30.47	484.940	20.0554
5.38	0.557968	34.2385	30.47	485.088	20.0554
5.39	0.557968	34.2479	30.47	485.221	20.0554
5.41	0.557968	34.2568	30.47	485.347	20.0554
5.43	0.557968	34.2655	30.47	485.470	20.0554
5.44	0.557968	34.2738	30.48	485.587	20.0554
5.46	0.557968	34.2819	30.48	485.702	20.0554
5.48	0.557968	34.2902	30.48	485.820	20.0554
5.49	0.557968	34.2975	30.48	485.923	20.0554
5.51	0.557968	34.3051	30.48	486.031	20.0554
5.53	0.557968	34.3126	30.48	486.137	20.0554
5.54	0.557968	34.3199	30.48	486.241	20.0554
5.56	0.557968	34.3269	30.48	486.339	20.0554
5.58	0.557968	34.3341	30.48	486.442	20.0554
5.59	0.557968	34.3413	30.48	486.543	20.0554
5.61	0.557968	34.3485	30.48	486.647	20.0554
5.63	0.557968	34.3553	30.48	486.742	20.0554
5.64	0.557968	34.3620	30.48	486.837	20.0554
5.66	0.557968	34.3686	30.48	486.930	20.0554
5.68	0.557968	34.3755	30.49	487.028	20.0554
5.69	0.557968	34.3822	30.49	487.124	20.0554
5.71	0.557968	34.3891	30.49	487.222	20.0554
5.73	0.557968	34.3958	30.49	487.316	20.0554
5.74	0.557968	34.4029	30.49	487.416	20.0554
5.76	0.557968	34.4102	30.49	487.520	20.0554
5.78	0.557968	34.4161	30.49	487.603	20.0554
5.79	0.557968	34.4228	30.49	487.698	20.0554
5.81	0.557968	34.4286	30.49	487.780	20.0554
5.83	0.557967	34.4363	30.49	487.890	20.0554
5.84	0.557967	34.4448	30.50	488.010	20.0554
5.86	0.557967	34.4577	30.50	488.193	20.0554
5.88	0.557967	34.4829	30.50	488.550	20.0554
5.89	0.557967	34.5052	30.50	488.866	20.0554
5.91	0.557967	34.5186	30.50	489.056	20.0554
5.93	0.557967	34.5257	30.50	489.157	20.0554
5.94	0.557967	34.5312	30.50	489.234	20.0554
