Filename	10172024_PEGDA_PEGMEA_15_Aerosil380_20_LITFSI
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 15p aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
4.69	0.624724	25.2467	30.00	20.0582	443.411
4.71	0.624724	25.2529	30.01	20.0582	443.519
4.73	0.624724	25.2606	30.01	20.0582	443.655
4.74	0.624724	25.2828	30.01	20.0582	444.044
4.76	0.624724	25.2918	30.01	20.0582	444.203
4.78	0.624724	25.3028	30.01	20.0582	444.396
4.79	0.624724	25.3111	30.01	20.0582	444.542
4.81	0.624724	25.3174	30.01	20.0582	444.652
4.83	0.624723	25.3223	30.01	20.0582	444.738
4.84	0.624723	25.3267	30.01	20.0582	444.815
4.86	0.624723	25.3308	30.01	20.0582	444.887
4.88	0.624723	25.3347	30.01	20.0582	444.956
4.89	0.624723	25.3392	30.01	20.0582	445.036
4.91	0.624723	25.3424	30.01	20.0582	445.092
4.93	0.624723	25.3459	30.01	20.0582	445.152
4.94	0.624723	25.3492	30.01	20.0582	445.211
4.96	0.624723	25.3526	30.01	20.0582	445.270
4.98	0.624723	25.3561	30.01	20.0582	445.331
4.99	0.624723	25.3598	30.01	20.0582	445.396
5.01	0.624723	25.3633	30.01	20.0582	445.458
5.03	0.624723	25.3665	30.01	20.0582	445.515
5.04	0.624723	25.3696	30.01	20.0582	445.570
5.06	0.624723	25.3727	30.02	20.0582	445.624
5.08	0.624723	25.3755	30.02	20.0582	445.673
5.09	0.624723	25.3783	30.02	20.0582	445.722
5.11	0.624723	25.3810	30.02	20.0582	445.769
5.13	0.624723	25.3834	30.02	20.0582	445.811
5.14	0.624723	25.3859	30.02	20.0582	445.855
5.16	0.624723	25.3885	30.02	20.0582	445.900
5.18	0.624723	25.3910	30.02	20.0582	445.945
5.19	0.624723	25.3932	30.02	20.0582	445.984
5.21	0.624723	25.3954	30.02	20.0582	446.023
5.23	0.624723	25.3976	30.02	20.0582	446.061
5.24	0.624723	25.4003	30.02	20.0582	446.107
5.26	0.624723	25.4022	30.02	20.0582	446.142
5.28	0.624723	25.4044	30.02	20.0582	446.180
5.29	0.624723	25.4068	30.02	20.0582	446.222
5.31	0.624723	25.4087	30.02	20.0582	446.256
5.33	0.624723	25.4107	30.02	20.0582	446.291
5.34	0.624723	25.4128	30.02	20.0582	446.328
5.36	0.624723	25.4151	30.02	20.0582	446.368
5.38	0.624723	25.4170	30.03	20.0582	446.401
5.39	0.624723	25.4193	30.03	20.0582	446.441
5.41	0.624723	25.4210	30.03	20.0582	446.471
5.43	0.624723	25.4229	30.03	20.0582	446.504
5.44	0.624723	25.4249	30.03	20.0582	446.540
5.46	0.624723	25.4265	30.03	20.0582	446.568
5.48	0.624723	25.4289	30.03	20.0582	446.610
5.49	0.624723	25.4302	30.03	20.0582	446.634
5.51	0.624723	25.4322	30.03	20.0582	446.669
5.53	0.624723	25.4342	30.03	20.0582	446.704
5.54	0.624723	25.4356	30.03	20.0582	446.728
5.56	0.624723	25.4380	30.03	20.0582	446.771
5.58	0.624723	25.4398	30.03	20.0582	446.801
5.59	0.624723	25.4413	30.03	20.0582	446.829
5.61	0.624723	25.4435	30.03	20.0582	446.867
