Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
5.08	4.74198e-3	21.8109	30.00	0.630461	329.178
5.09	4.84260e-3	21.8782	30.00	0.643839	330.194
5.11	4.94167e-3	21.9457	30.00	0.657012	331.212
5.13	5.03797e-3	22.0131	30.00	0.669815	332.230
5.14	5.13543e-3	22.0805	30.00	0.682773	333.247
5.16	5.23486e-3	22.1479	30.00	0.695992	334.264
5.18	5.33849e-3	22.2152	30.00	0.709769	335.281
5.19	5.44599e-3	22.2826	30.00	0.724061	336.297
5.21	5.55502e-3	22.3500	30.00	0.738558	337.315
5.23	5.66727e-3	22.4175	30.00	0.753483	338.333
5.24	5.78269e-3	22.4848	30.00	0.768827	339.349
5.26	5.90281e-3	22.5522	30.00	0.784798	340.366
5.28	6.02541e-3	22.6196	30.00	0.801097	341.384
5.29	6.14963e-3	22.6870	30.00	0.817614	342.401
5.31	6.27813e-3	22.7543	30.00	0.834698	343.417
5.33	6.40937e-3	22.8216	30.00	0.852147	344.432
5.34	6.54239e-3	22.8892	30.00	0.869832	345.452
5.36	6.67669e-3	22.9565	30.00	0.887687	346.468
5.38	6.81484e-3	23.0239	30.00	0.906055	347.485
5.39	6.95578e-3	23.0913	30.00	0.924794	348.503
5.41	7.09841e-3	23.1587	30.00	0.943756	349.519
5.43	7.24101e-3	23.2261	30.00	0.962715	350.537
5.44	7.38722e-3	23.2934	30.00	0.982154	351.553
5.46	7.53503e-3	23.3608	30.00	1.00181	352.570
5.48	7.68564e-3	23.4283	30.00	1.02183	353.589
5.49	7.83776e-3	23.4956	30.00	1.04206	354.605
5.51	7.99274e-3	23.5630	30.00	1.06266	355.622
5.53	8.14975e-3	23.6305	30.00	1.08354	356.640
